46.4162 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1512, 982]. Using actual size
47.6593 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

47.6597 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7faa02bb9520>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7faa02bb94c0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7faa02bb9340>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7faa108a5ee0>, multiSample=False, name='window1', numSamples=2, pos=[378.0, 245.5], screen=0, size=array([3024, 1964]), stencilBits=0, stereo=False, title='PsychoPy', units='norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
47.6598 	EXP 	window1: mouseVisible = True
47.6598 	EXP 	window1: backgroundImage = None
47.6598 	EXP 	window1: backgroundFit = 'cover'
47.6601 	EXP 	window1: mouseVisible = True
47.6893 	EXP 	Created fixation = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='fixation', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text='+', units='norm', win=Window(...), wrapWidth=1)
47.6894 	EXP 	window1: mouseVisible = True
47.7140 	EXP 	Created instructions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.06, italic=False, languageStyle='LTR', name='instructions', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='norm', win=Window(...), wrapWidth=1.5)
47.7142 	EXP 	window1: mouseVisible = True
47.7198 	EXP 	Created break_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.06, italic=False, languageStyle='LTR', name='break_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='norm', win=Window(...), wrapWidth=1.5)
47.7199 	EXP 	window1: mouseVisible = True
47.7211 	EXP 	Created block_progress = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='block_progress', opacity=1.0, ori=0, pos=array([ 0. , -0.4]), rgb=UNKNOWN, text='', units='norm', win=Window(...), wrapWidth=1)
47.7211 	EXP 	window1: mouseVisible = True
47.7338 	EXP 	Created completion = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.08, italic=False, languageStyle='LTR', name='completion', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='norm', win=Window(...), wrapWidth=1)
47.7389 	WARNING 	t of last frame was 79.72ms (=1/12)
55.3288 	DATA 	Keypress: space
55.3459 	WARNING 	t of last frame was 7606.98ms (=1/0)
55.3459 	EXP 	block_progress: height = 0.04
55.3459 	EXP 	block_progress: height = 0.04
55.3459 	EXP 	block_progress: height = 0.04
55.3459 	EXP 	block_progress: text = 'Block 1/3'
57.3552 	WARNING 	t of last frame was 2009.29ms (=1/0)
57.3557 	EXP 	Sound  started
57.6591 	WARNING 	t of last frame was 303.96ms (=1/3)
58.1636 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
58.1640 	EXP 	Sound  stopped
58.1640 	EXP 	Sound  started
58.9723 	EXP 	Sound  stopped
58.9723 	EXP 	Sound  started
59.7792 	EXP 	Sound  stopped
59.7792 	EXP 	Sound  started
60.5871 	EXP 	Sound  stopped
60.5871 	EXP 	Sound  started
61.3951 	EXP 	Sound  stopped
61.3951 	EXP 	Sound  started
62.2025 	EXP 	Sound  stopped
62.2025 	EXP 	Sound  started
63.0106 	EXP 	Sound  stopped
63.0106 	EXP 	Sound  started
63.8179 	EXP 	Sound  stopped
63.8179 	EXP 	Sound  started
64.6262 	EXP 	Sound  stopped
64.6262 	EXP 	Sound  started
65.4337 	EXP 	Sound  started
66.2436 	EXP 	Sound  stopped
66.2437 	EXP 	Sound  started
67.0518 	EXP 	Sound  stopped
67.0518 	EXP 	Sound  started
67.8597 	EXP 	Sound  stopped
67.8597 	EXP 	Sound  started
68.6677 	EXP 	Sound  stopped
68.6677 	EXP 	Sound  started
69.4757 	EXP 	Sound  stopped
69.4758 	EXP 	Sound  started
70.2825 	EXP 	Sound  stopped
70.2825 	EXP 	Sound  started
71.0908 	EXP 	Sound  stopped
71.0909 	EXP 	Sound  started
71.8991 	EXP 	Sound  stopped
71.8991 	EXP 	Sound  started
72.7074 	EXP 	Sound  stopped
72.7074 	EXP 	Sound  started
73.5152 	EXP 	Sound  stopped
73.5153 	EXP 	Sound  started
74.3225 	EXP 	Sound  stopped
74.3225 	EXP 	Sound  started
75.1308 	EXP 	Sound  stopped
75.1308 	EXP 	Sound  started
75.9386 	EXP 	Sound  stopped
75.9387 	EXP 	Sound  started
76.7463 	EXP 	Sound  stopped
76.7463 	EXP 	Sound  started
77.5533 	EXP 	Sound  stopped
77.5533 	EXP 	Sound  started
78.3610 	EXP 	Sound  stopped
78.3610 	EXP 	Sound  started
79.1684 	EXP 	Sound  stopped
79.1684 	EXP 	Sound  started
79.9765 	EXP 	Sound  stopped
79.9765 	EXP 	Sound  started
80.7841 	EXP 	Sound  stopped
80.7841 	EXP 	Sound  started
81.5916 	EXP 	Sound  stopped
81.5916 	EXP 	Sound  started
82.3994 	EXP 	Sound  stopped
82.3995 	EXP 	Sound  started
83.2070 	EXP 	Sound  stopped
83.2070 	EXP 	Sound  started
84.0148 	EXP 	Sound  stopped
84.0148 	EXP 	Sound  started
84.8230 	EXP 	Sound  stopped
84.8230 	EXP 	Sound  started
85.6307 	EXP 	Sound  stopped
85.6307 	EXP 	Sound  started
86.4380 	EXP 	Sound  stopped
86.4381 	EXP 	Sound  started
87.2454 	EXP 	Sound  stopped
87.2454 	EXP 	Sound  started
88.0540 	EXP 	Sound  stopped
88.0540 	EXP 	Sound  started
88.8621 	EXP 	Sound  stopped
88.8622 	EXP 	Sound  started
89.6701 	EXP 	Sound  stopped
89.6701 	EXP 	Sound  started
90.4777 	EXP 	Sound  stopped
90.4778 	EXP 	Sound  started
91.2845 	EXP 	Sound  stopped
91.2845 	EXP 	Sound  started
92.0931 	EXP 	Sound  stopped
92.0931 	EXP 	Sound  started
92.9003 	EXP 	Sound  stopped
92.9003 	EXP 	Sound  started
93.7082 	EXP 	Sound  stopped
93.7082 	EXP 	Sound  started
94.5155 	EXP 	Sound  stopped
94.5156 	EXP 	Sound  started
95.3224 	EXP 	Sound  stopped
95.3225 	EXP 	Sound  started
96.1301 	EXP 	Sound  stopped
96.1301 	EXP 	Sound  started
96.9386 	EXP 	Sound  stopped
96.9386 	EXP 	Sound  started
97.7681 	EXP 	Sound  stopped
97.7681 	EXP 	Sound  started
98.5766 	EXP 	Sound  stopped
98.5766 	EXP 	Sound  started
99.3853 	EXP 	Sound  stopped
99.3854 	EXP 	Sound  started
100.1935 	EXP 	Sound  stopped
100.1936 	EXP 	Sound  started
101.0011 	EXP 	Sound  stopped
101.0012 	EXP 	Sound  started
101.8084 	EXP 	Sound  stopped
101.8085 	EXP 	Sound  started
102.6166 	EXP 	Sound  stopped
102.6166 	EXP 	Sound  started
103.4244 	EXP 	Sound  stopped
103.4244 	EXP 	Sound  started
104.2326 	EXP 	Sound  stopped
104.2327 	EXP 	Sound  started
105.0405 	EXP 	Sound  stopped
105.0405 	EXP 	Sound  started
105.8477 	EXP 	Sound  stopped
105.8477 	EXP 	Sound  started
106.6550 	EXP 	Sound  stopped
106.6550 	EXP 	Sound  started
107.4633 	EXP 	Sound  stopped
107.4634 	EXP 	Sound  started
108.2709 	EXP 	Sound  stopped
108.2709 	EXP 	Sound  started
109.0791 	EXP 	Sound  stopped
109.0791 	EXP 	Sound  started
109.8874 	EXP 	Sound  stopped
109.8874 	EXP 	Sound  started
110.6950 	EXP 	Sound  stopped
110.6950 	EXP 	Sound  started
111.5028 	EXP 	Sound  stopped
111.5028 	EXP 	Sound  started
112.3090 	EXP 	Sound  stopped
112.3090 	EXP 	Sound  started
113.1166 	EXP 	Sound  stopped
113.1166 	EXP 	Sound  started
113.9242 	EXP 	Sound  stopped
113.9242 	EXP 	Sound  started
114.7315 	EXP 	Sound  stopped
114.7315 	EXP 	Sound  started
115.5389 	EXP 	Sound  stopped
115.5390 	EXP 	Sound  started
116.3465 	EXP 	Sound  stopped
116.3466 	EXP 	Sound  started
117.1539 	EXP 	Sound  stopped
117.1540 	EXP 	Sound  started
117.9618 	EXP 	Sound  stopped
117.9618 	EXP 	Sound  started
118.7689 	EXP 	Sound  stopped
118.7689 	EXP 	Sound  started
119.5772 	EXP 	Sound  stopped
119.5772 	EXP 	Sound  started
120.3848 	EXP 	Sound  stopped
120.3848 	EXP 	Sound  started
121.1923 	EXP 	Sound  stopped
121.1923 	EXP 	Sound  started
122.0002 	EXP 	Sound  stopped
122.0002 	EXP 	Sound  started
122.8071 	EXP 	Sound  stopped
122.8071 	EXP 	Sound  started
123.6145 	EXP 	Sound  stopped
123.6145 	EXP 	Sound  started
124.4226 	EXP 	Sound  stopped
124.4226 	EXP 	Sound  started
125.2296 	EXP 	Sound  stopped
125.2296 	EXP 	Sound  started
126.0380 	EXP 	Sound  stopped
126.0381 	EXP 	Sound  started
126.8462 	EXP 	Sound  stopped
126.8463 	EXP 	Sound  started
127.6533 	EXP 	Sound  stopped
127.6533 	EXP 	Sound  started
128.4614 	EXP 	Sound  stopped
128.4615 	EXP 	Sound  started
129.2688 	EXP 	Sound  stopped
129.2689 	EXP 	Sound  started
134.1028 	EXP 	break_text: height = 0.06
134.1028 	EXP 	break_text: height = 0.06
134.1028 	EXP 	break_text: height = 0.06
