45.5546 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1512, 982]. Using actual size
46.8168 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

46.8171 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fc1a0ff8910>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fc1a0ff88b0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fc1a0ff8730>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fc1b4bb4070>, multiSample=False, name='window1', numSamples=2, pos=[378.0, 245.5], screen=0, size=array([3024, 1964]), stencilBits=0, stereo=False, title='PsychoPy', units='norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
46.8173 	EXP 	window1: mouseVisible = True
46.8173 	EXP 	window1: backgroundImage = None
46.8173 	EXP 	window1: backgroundFit = 'cover'
46.8176 	EXP 	window1: mouseVisible = True
46.8471 	EXP 	Created fixation = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='fixation', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text='+', units='norm', win=Window(...), wrapWidth=1)
46.8472 	EXP 	window1: mouseVisible = True
46.8723 	EXP 	Created instructions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.06, italic=False, languageStyle='LTR', name='instructions', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='norm', win=Window(...), wrapWidth=1.5)
46.8724 	EXP 	window1: mouseVisible = True
46.8784 	EXP 	Created break_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.06, italic=False, languageStyle='LTR', name='break_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='norm', win=Window(...), wrapWidth=1.5)
46.8785 	EXP 	window1: mouseVisible = True
46.8797 	EXP 	Created block_progress = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='block_progress', opacity=1.0, ori=0, pos=array([ 0. , -0.4]), rgb=UNKNOWN, text='', units='norm', win=Window(...), wrapWidth=1)
46.8798 	EXP 	window1: mouseVisible = True
46.8922 	EXP 	Created completion = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.08, italic=False, languageStyle='LTR', name='completion', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='norm', win=Window(...), wrapWidth=1)
46.8965 	WARNING 	t of last frame was 79.89ms (=1/12)
47.8119 	DATA 	Keypress: space
47.8273 	WARNING 	t of last frame was 930.78ms (=1/1)
47.8273 	EXP 	block_progress: height = 0.04
47.8273 	EXP 	block_progress: height = 0.04
47.8273 	EXP 	block_progress: height = 0.04
47.8273 	EXP 	block_progress: text = 'Block 1/3'
49.8370 	WARNING 	t of last frame was 2009.74ms (=1/0)
49.8372 	EXP 	Sound  started
50.1418 	WARNING 	t of last frame was 304.79ms (=1/3)
50.6464 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
50.6466 	EXP 	Sound  stopped
50.6466 	EXP 	Sound  started
51.4537 	EXP 	Sound  stopped
51.4537 	EXP 	Sound  started
52.2619 	EXP 	Sound  stopped
52.2619 	EXP 	Sound  started
53.0695 	EXP 	Sound  stopped
53.0695 	EXP 	Sound  started
53.8769 	EXP 	Sound  stopped
53.8770 	EXP 	Sound  started
54.6856 	EXP 	Sound  stopped
54.6856 	EXP 	Sound  started
55.4937 	EXP 	Sound  stopped
55.4937 	EXP 	Sound  started
56.3016 	EXP 	Sound  stopped
56.3017 	EXP 	Sound  started
57.1101 	EXP 	Sound  stopped
57.1101 	EXP 	Sound  started
57.9173 	EXP 	Sound  stopped
57.9173 	EXP 	Sound  started
58.7247 	EXP 	Sound  stopped
58.7247 	EXP 	Sound  started
59.5332 	EXP 	Sound  stopped
59.5332 	EXP 	Sound  started
60.3403 	EXP 	Sound  started
61.1479 	EXP 	Sound  stopped
61.1480 	EXP 	Sound  started
61.9551 	EXP 	Sound  stopped
61.9551 	EXP 	Sound  started
62.7631 	EXP 	Sound  stopped
62.7631 	EXP 	Sound  started
63.5714 	EXP 	Sound  stopped
63.5714 	EXP 	Sound  started
64.3778 	EXP 	Sound  stopped
64.3778 	EXP 	Sound  started
65.1857 	EXP 	Sound  stopped
65.1857 	EXP 	Sound  started
65.9937 	EXP 	Sound  stopped
65.9938 	EXP 	Sound  started
66.8013 	EXP 	Sound  stopped
66.8013 	EXP 	Sound  started
67.6091 	EXP 	Sound  stopped
67.6092 	EXP 	Sound  started
68.4163 	EXP 	Sound  stopped
68.4163 	EXP 	Sound  started
69.2245 	EXP 	Sound  stopped
69.2246 	EXP 	Sound  started
70.0328 	EXP 	Sound  stopped
70.0328 	EXP 	Sound  started
70.8406 	EXP 	Sound  stopped
70.8407 	EXP 	Sound  started
71.6480 	EXP 	Sound  stopped
71.6481 	EXP 	Sound  started
72.4555 	EXP 	Sound  stopped
72.4555 	EXP 	Sound  started
73.2632 	EXP 	Sound  stopped
73.2633 	EXP 	Sound  started
74.0714 	EXP 	Sound  stopped
74.0714 	EXP 	Sound  started
74.8784 	EXP 	Sound  stopped
74.8784 	EXP 	Sound  started
75.6867 	EXP 	Sound  stopped
75.6867 	EXP 	Sound  started
76.4948 	EXP 	Sound  stopped
76.4948 	EXP 	Sound  started
77.3025 	EXP 	Sound  stopped
77.3026 	EXP 	Sound  started
78.1106 	EXP 	Sound  stopped
78.1106 	EXP 	Sound  started
78.9180 	EXP 	Sound  stopped
78.9180 	EXP 	Sound  started
79.7258 	EXP 	Sound  stopped
79.7259 	EXP 	Sound  started
80.5339 	EXP 	Sound  stopped
80.5339 	EXP 	Sound  started
81.3420 	EXP 	Sound  stopped
81.3421 	EXP 	Sound  started
82.1499 	EXP 	Sound  stopped
82.1499 	EXP 	Sound  started
82.9564 	EXP 	Sound  stopped
82.9565 	EXP 	Sound  started
83.7637 	EXP 	Sound  stopped
83.7637 	EXP 	Sound  started
84.5713 	EXP 	Sound  stopped
84.5713 	EXP 	Sound  started
85.3776 	EXP 	Sound  stopped
85.3776 	EXP 	Sound  started
86.1859 	EXP 	Sound  stopped
86.1859 	EXP 	Sound  started
86.9939 	EXP 	Sound  stopped
86.9939 	EXP 	Sound  started
87.8015 	EXP 	Sound  stopped
87.8015 	EXP 	Sound  started
88.6091 	EXP 	Sound  stopped
88.6091 	EXP 	Sound  started
89.4158 	EXP 	Sound  stopped
89.4159 	EXP 	Sound  started
90.2240 	EXP 	Sound  stopped
90.2240 	EXP 	Sound  started
91.0323 	EXP 	Sound  stopped
91.0323 	EXP 	Sound  started
91.8404 	EXP 	Sound  stopped
91.8405 	EXP 	Sound  started
92.6478 	EXP 	Sound  stopped
92.6479 	EXP 	Sound  started
93.4542 	EXP 	Sound  stopped
93.4542 	EXP 	Sound  started
94.2620 	EXP 	Sound  stopped
94.2621 	EXP 	Sound  started
95.0696 	EXP 	Sound  stopped
95.0696 	EXP 	Sound  started
95.8776 	EXP 	Sound  stopped
95.8777 	EXP 	Sound  started
96.6866 	EXP 	Sound  stopped
96.6866 	EXP 	Sound  started
97.4949 	EXP 	Sound  stopped
97.4949 	EXP 	Sound  started
98.3032 	EXP 	Sound  stopped
98.3033 	EXP 	Sound  started
99.1110 	EXP 	Sound  stopped
99.1110 	EXP 	Sound  started
99.9182 	EXP 	Sound  stopped
99.9183 	EXP 	Sound  started
100.7262 	EXP 	Sound  stopped
100.7262 	EXP 	Sound  started
101.5338 	EXP 	Sound  stopped
101.5338 	EXP 	Sound  started
102.3418 	EXP 	Sound  stopped
102.3418 	EXP 	Sound  started
103.1496 	EXP 	Sound  stopped
103.1496 	EXP 	Sound  started
103.9567 	EXP 	Sound  stopped
103.9567 	EXP 	Sound  started
104.7644 	EXP 	Sound  stopped
104.7644 	EXP 	Sound  started
105.5713 	EXP 	Sound  stopped
105.5713 	EXP 	Sound  started
110.4057 	EXP 	break_text: height = 0.06
110.4057 	EXP 	break_text: height = 0.06
110.4057 	EXP 	break_text: height = 0.06
110.4057 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 25 seconds.\n\n(Or press SPACE to continue now)'
110.5109 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 25 seconds.\n\n(Or press SPACE to continue now)'
110.6152 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 25 seconds.\n\n(Or press SPACE to continue now)'
110.7191 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 25 seconds.\n\n(Or press SPACE to continue now)'
110.8232 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 25 seconds.\n\n(Or press SPACE to continue now)'
110.9270 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 25 seconds.\n\n(Or press SPACE to continue now)'
111.0311 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 25 seconds.\n\n(Or press SPACE to continue now)'
111.1351 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 25 seconds.\n\n(Or press SPACE to continue now)'
111.2386 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 25 seconds.\n\n(Or press SPACE to continue now)'
111.3421 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 25 seconds.\n\n(Or press SPACE to continue now)'
115.4607 	EXP 	break_text: height = 0.06
115.4607 	EXP 	break_text: height = 0.06
115.4607 	EXP 	break_text: height = 0.06
115.4607 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 20 seconds.\n\n(Or press SPACE to continue now)'
115.5653 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 20 seconds.\n\n(Or press SPACE to continue now)'
115.6690 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 20 seconds.\n\n(Or press SPACE to continue now)'
115.7726 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 20 seconds.\n\n(Or press SPACE to continue now)'
115.8763 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 20 seconds.\n\n(Or press SPACE to continue now)'
115.9805 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 20 seconds.\n\n(Or press SPACE to continue now)'
116.0451 	DATA 	Keypress: space
116.0846 	EXP 	break_text: text = 'Take a short break.\n\nThe experiment will continue in 20 seconds.\n\n(Or press SPACE to continue now)'
116.0897 	EXP 	block_progress: height = 0.04
116.0897 	EXP 	block_progress: height = 0.04
116.0897 	EXP 	block_progress: height = 0.04
116.0897 	EXP 	block_progress: text = 'Block 2/3'
118.0990 	EXP 	Sound  started
118.9073 	EXP 	Sound  stopped
118.9073 	EXP 	Sound  started
119.7143 	EXP 	Sound  stopped
119.7143 	EXP 	Sound  started
120.5224 	EXP 	Sound  stopped
120.5225 	EXP 	Sound  started
121.3309 	EXP 	Sound  stopped
121.3310 	EXP 	Sound  started
122.1383 	EXP 	Sound  stopped
122.1383 	EXP 	Sound  started
122.9449 	EXP 	Sound  stopped
122.9449 	EXP 	Sound  started
