trial_num,stimulus,trigger_code,is_deviant,condition,standard_type,deviant_type,block_num,post_deviant
1,N,1,False,Experimental,N,Ai,2,False
2,N,1,False,Experimental,N,Ai,2,False
3,N,1,False,Experimental,N,Ai,2,False
4,N,1,False,Experimental,N,Ai,2,False
5,N,1,False,Experimental,N,Ai,2,False
6,N,1,False,Experimental,N,Ai,2,False
7,N,1,False,Experimental,N,Ai,2,False
8,Ai,13,True,Experimental,N,Ai,2,False
9,N,1,False,Experimental,N,Ai,2,True
10,N,1,False,Experimental,N,Ai,2,False
11,N,1,False,Experimental,N,Ai,2,False
12,N,1,False,Experimental,N,Ai,2,False
13,N,1,False,Experimental,N,Ai,2,False
14,N,1,False,Experimental,N,Ai,2,False
15,Ai,13,True,Experimental,N,Ai,2,False
16,N,1,False,Experimental,N,Ai,2,True
17,N,1,False,Experimental,N,Ai,2,False
18,N,1,False,Experimental,N,Ai,2,False
19,N,1,False,Experimental,N,Ai,2,False
20,N,1,False,Experimental,N,Ai,2,False
21,N,1,False,Experimental,N,Ai,2,False
22,Ai,13,True,Experimental,N,Ai,2,False
23,N,1,False,Experimental,N,Ai,2,True
24,N,1,False,Experimental,N,Ai,2,False
25,N,1,False,Experimental,N,Ai,2,False
26,N,1,False,Experimental,N,Ai,2,False
27,N,1,False,Experimental,N,Ai,2,False
28,N,1,False,Experimental,N,Ai,2,False
29,N,1,False,Experimental,N,Ai,2,False
30,N,1,False,Experimental,N,Ai,2,False
31,N,1,False,Experimental,N,Ai,2,False
32,N,1,False,Experimental,N,Ai,2,False
33,N,1,False,Experimental,N,Ai,2,False
34,N,1,False,Experimental,N,Ai,2,False
35,N,1,False,Experimental,N,Ai,2,False
36,Ai,13,True,Experimental,N,Ai,2,False
37,N,1,False,Experimental,N,Ai,2,True
38,N,1,False,Experimental,N,Ai,2,False
39,N,1,False,Experimental,N,Ai,2,False
40,N,1,False,Experimental,N,Ai,2,False
41,N,1,False,Experimental,N,Ai,2,False
42,N,1,False,Experimental,N,Ai,2,False
43,N,1,False,Experimental,N,Ai,2,False
44,N,1,False,Experimental,N,Ai,2,False
45,N,1,False,Experimental,N,Ai,2,False
46,N,1,False,Experimental,N,Ai,2,False
47,N,1,False,Experimental,N,Ai,2,False
48,N,1,False,Experimental,N,Ai,2,False
49,Ai,13,True,Experimental,N,Ai,2,False
50,N,1,False,Experimental,N,Ai,2,True
51,N,1,False,Experimental,N,Ai,2,False
52,N,1,False,Experimental,N,Ai,2,False
53,N,1,False,Experimental,N,Ai,2,False
54,N,1,False,Experimental,N,Ai,2,False
55,N,1,False,Experimental,N,Ai,2,False
56,N,1,False,Experimental,N,Ai,2,False
57,N,1,False,Experimental,N,Ai,2,False
58,N,1,False,Experimental,N,Ai,2,False
59,N,1,False,Experimental,N,Ai,2,False
60,N,1,False,Experimental,N,Ai,2,False
61,N,1,False,Experimental,N,Ai,2,False
62,Ai,13,True,Experimental,N,Ai,2,False
63,N,1,False,Experimental,N,Ai,2,True
64,N,1,False,Experimental,N,Ai,2,False
65,N,1,False,Experimental,N,Ai,2,False
66,N,1,False,Experimental,N,Ai,2,False
67,N,1,False,Experimental,N,Ai,2,False
68,N,1,False,Experimental,N,Ai,2,False
69,Ai,13,True,Experimental,N,Ai,2,False
70,N,1,False,Experimental,N,Ai,2,True
71,N,1,False,Experimental,N,Ai,2,False
72,N,1,False,Experimental,N,Ai,2,False
73,N,1,False,Experimental,N,Ai,2,False
74,N,1,False,Experimental,N,Ai,2,False
75,N,1,False,Experimental,N,Ai,2,False
76,N,1,False,Experimental,N,Ai,2,False
77,N,1,False,Experimental,N,Ai,2,False
78,N,1,False,Experimental,N,Ai,2,False
79,N,1,False,Experimental,N,Ai,2,False
80,N,1,False,Experimental,N,Ai,2,False
81,N,1,False,Experimental,N,Ai,2,False
82,N,1,False,Experimental,N,Ai,2,False
83,Ai,13,True,Experimental,N,Ai,2,False
84,N,1,False,Experimental,N,Ai,2,True
85,N,1,False,Experimental,N,Ai,2,False
86,N,1,False,Experimental,N,Ai,2,False
87,N,1,False,Experimental,N,Ai,2,False
88,N,1,False,Experimental,N,Ai,2,False
89,N,1,False,Experimental,N,Ai,2,False
90,N,1,False,Experimental,N,Ai,2,False
91,Ai,13,True,Experimental,N,Ai,2,False
92,N,1,False,Experimental,N,Ai,2,True
93,N,1,False,Experimental,N,Ai,2,False
94,Ai,13,True,Experimental,N,Ai,2,False
95,N,1,False,Experimental,N,Ai,2,True
96,N,1,False,Experimental,N,Ai,2,False
97,N,1,False,Experimental,N,Ai,2,False
98,N,1,False,Experimental,N,Ai,2,False
99,N,1,False,Experimental,N,Ai,2,False
100,N,1,False,Experimental,N,Ai,2,False
101,Ai,13,True,Experimental,N,Ai,2,False
102,N,1,False,Experimental,N,Ai,2,True
103,N,1,False,Experimental,N,Ai,2,False
104,N,1,False,Experimental,N,Ai,2,False
105,N,1,False,Experimental,N,Ai,2,False
106,N,1,False,Experimental,N,Ai,2,False
107,N,1,False,Experimental,N,Ai,2,False
108,N,1,False,Experimental,N,Ai,2,False
109,N,1,False,Experimental,N,Ai,2,False
110,N,1,False,Experimental,N,Ai,2,False
111,N,1,False,Experimental,N,Ai,2,False
112,N,1,False,Experimental,N,Ai,2,False
113,N,1,False,Experimental,N,Ai,2,False
114,Ai,13,True,Experimental,N,Ai,2,False
115,N,1,False,Experimental,N,Ai,2,True
116,N,1,False,Experimental,N,Ai,2,False
117,N,1,False,Experimental,N,Ai,2,False
118,N,1,False,Experimental,N,Ai,2,False
119,N,1,False,Experimental,N,Ai,2,False
120,N,1,False,Experimental,N,Ai,2,False
121,N,1,False,Experimental,N,Ai,2,False
122,N,1,False,Experimental,N,Ai,2,False
123,N,1,False,Experimental,N,Ai,2,False
124,N,1,False,Experimental,N,Ai,2,False
125,N,1,False,Experimental,N,Ai,2,False
126,N,1,False,Experimental,N,Ai,2,False
127,N,1,False,Experimental,N,Ai,2,False
128,Ai,13,True,Experimental,N,Ai,2,False
129,N,1,False,Experimental,N,Ai,2,True
130,N,1,False,Experimental,N,Ai,2,False
131,N,1,False,Experimental,N,Ai,2,False
132,N,1,False,Experimental,N,Ai,2,False
133,N,1,False,Experimental,N,Ai,2,False
134,N,1,False,Experimental,N,Ai,2,False
135,N,1,False,Experimental,N,Ai,2,False
136,N,1,False,Experimental,N,Ai,2,False
137,N,1,False,Experimental,N,Ai,2,False
138,N,1,False,Experimental,N,Ai,2,False
139,N,1,False,Experimental,N,Ai,2,False
140,N,1,False,Experimental,N,Ai,2,False
141,N,1,False,Experimental,N,Ai,2,False
142,Ai,13,True,Experimental,N,Ai,2,False
143,N,1,False,Experimental,N,Ai,2,True
144,N,1,False,Experimental,N,Ai,2,False
145,Ai,13,True,Experimental,N,Ai,2,False
146,N,1,False,Experimental,N,Ai,2,True
147,N,1,False,Experimental,N,Ai,2,False
148,Ai,13,True,Experimental,N,Ai,2,False
149,N,1,False,Experimental,N,Ai,2,True
150,N,1,False,Experimental,N,Ai,2,False
151,N,1,False,Experimental,N,Ai,2,False
152,N,1,False,Experimental,N,Ai,2,False
153,N,1,False,Experimental,N,Ai,2,False
154,N,1,False,Experimental,N,Ai,2,False
155,N,1,False,Experimental,N,Ai,2,False
156,N,1,False,Experimental,N,Ai,2,False
157,N,1,False,Experimental,N,Ai,2,False
158,N,1,False,Experimental,N,Ai,2,False
159,N,1,False,Experimental,N,Ai,2,False
160,N,1,False,Experimental,N,Ai,2,False
161,N,1,False,Experimental,N,Ai,2,False
162,Ai,13,True,Experimental,N,Ai,2,False
163,N,1,False,Experimental,N,Ai,2,True
164,N,1,False,Experimental,N,Ai,2,False
165,N,1,False,Experimental,N,Ai,2,False
166,N,1,False,Experimental,N,Ai,2,False
167,N,1,False,Experimental,N,Ai,2,False
168,N,1,False,Experimental,N,Ai,2,False
169,N,1,False,Experimental,N,Ai,2,False
170,N,1,False,Experimental,N,Ai,2,False
171,N,1,False,Experimental,N,Ai,2,False
172,N,1,False,Experimental,N,Ai,2,False
173,N,1,False,Experimental,N,Ai,2,False
174,N,1,False,Experimental,N,Ai,2,False
175,N,1,False,Experimental,N,Ai,2,False
176,Ai,13,True,Experimental,N,Ai,2,False
177,N,1,False,Experimental,N,Ai,2,True
178,N,1,False,Experimental,N,Ai,2,False
179,N,1,False,Experimental,N,Ai,2,False
180,Ai,13,True,Experimental,N,Ai,2,False
181,N,1,False,Experimental,N,Ai,2,True
182,N,1,False,Experimental,N,Ai,2,False
183,N,1,False,Experimental,N,Ai,2,False
184,N,1,False,Experimental,N,Ai,2,False
185,N,1,False,Experimental,N,Ai,2,False
186,N,1,False,Experimental,N,Ai,2,False
187,N,1,False,Experimental,N,Ai,2,False
188,N,1,False,Experimental,N,Ai,2,False
189,Ai,13,True,Experimental,N,Ai,2,False
190,N,1,False,Experimental,N,Ai,2,True
